PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FGM,FGA,FG3M,FG3A,FTM,FTA,FG_PCT,FG3_PCT,FT_PCT,DD2,TD3,PLUS_MINUS
1626171,Bobby Portis,MIL,82,24.5,13.8,7.4,1.3,0.8,0.4,1.1,5.7,11.2,1.2,3.0,1.2,1.5,0.508,0.407,0.79,17,0,-0.1
203992,Bogdan Bogdanović,ATL,79,30.4,16.9,3.4,3.1,1.2,0.3,1.4,6.0,13.9,3.0,8.1,1.9,2.1,0.428,0.374,0.921,1,0,1.6
202711,Bojan Bogdanović,NYK,57,25.9,15.2,2.7,1.7,0.5,0.1,1.8,5.4,11.9,2.3,5.9,2.1,2.6,0.454,0.398,0.785,1,0,-6.1
1629626,Bol Bol,PHX,43,10.9,5.2,3.2,0.4,0.2,0.6,0.4,2.2,3.5,0.5,1.2,0.3,0.4,0.616,0.423,0.789,1,0,0.3
1630538,Bones Hyland,LAC,37,14.6,6.9,1.5,2.5,0.7,0.1,1.2,2.6,6.8,1.2,3.6,0.5,0.6,0.386,0.326,0.783,1,0,-1.8
203078,Bradley Beal,PHX,53,33.3,18.2,4.4,5.0,1.0,0.5,2.5,7.1,13.9,1.9,4.4,2.1,2.5,0.513,0.43,0.813,3,0,2.0
1641764,Brandin Podziemski,GSW,74,26.6,9.2,5.8,3.7,0.8,0.2,1.2,3.7,8.1,1.2,3.2,0.7,1.1,0.454,0.385,0.633,7,0,3.6
1630527,Brandon Boston Jr.,LAC,32,10.8,5.2,1.6,0.4,0.3,0.2,0.8,2.0,5.0,0.4,1.6,0.7,1.0,0.404,0.269,0.697,0,0,-3.5
1629634,Brandon Clarke,MEM,6,22.4,11.3,5.3,1.5,0.8,1.0,0.5,5.5,9.8,0.2,1.0,0.2,1.2,0.559,0.167,0.143,0,0,-1.3
1627742,Brandon Ingram,NOP,64,32.9,20.8,5.1,5.7,0.8,0.6,2.5,7.8,15.9,1.3,3.8,3.8,4.8,0.492,0.355,0.801,3,1,2.7
1641706,Brandon Miller,CHA,74,32.2,17.3,4.3,2.4,0.9,0.6,1.8,6.4,14.6,2.5,6.7,1.9,2.3,0.44,0.373,0.827,1,0,-6.9
1630314,Brandon Williams,DAL,17,6.6,3.2,0.8,1.0,0.1,0.1,0.4,1.2,3.2,0.2,0.9,0.6,1.0,0.37,0.2,0.647,0,0,-3.4
1630296,Braxton Key,DEN,20,3.0,1.1,0.9,0.4,0.1,0.0,0.0,0.4,0.8,0.1,0.2,0.3,0.4,0.412,0.4,0.75,0,0,-0.6
1641729,Brice Sensabaugh,UTA,32,18.3,7.5,3.2,1.7,0.4,0.2,1.5,2.7,6.8,1.1,3.6,1.2,1.3,0.39,0.296,0.902,1,0,-5.4
201572,Brook Lopez,MIL,79,30.5,12.5,5.2,1.6,0.5,2.4,1.0,4.6,9.6,1.9,5.1,1.4,1.7,0.485,0.366,0.821,5,0,3.5
1628971,Bruce Brown,TOR,67,27.8,10.8,4.2,2.9,0.9,0.3,1.3,4.1,8.7,0.8,2.4,1.7,2.1,0.478,0.323,0.824,2,0,-3.4
1628981,Bruno Fernando,ATL,45,15.2,6.3,4.3,1.0,0.6,0.6,1.0,2.4,4.2,0.0,0.1,1.4,2.1,0.583,0.0,0.667,0,0,-2.1
1631121,Bryce McGowens,CHA,59,14.9,5.1,1.7,0.9,0.4,0.2,0.5,1.7,3.9,0.6,1.7,1.1,1.4,0.439,0.333,0.776,0,0,-3.9
1631205,Buddy Boeheim,DET,10,8.4,3.4,1.0,0.3,0.0,0.1,0.0,0.9,2.9,0.8,2.5,0.8,1.0,0.31,0.32,0.8,0,0,2.1
1627741,Buddy Hield,PHI,84,25.7,12.1,3.2,2.8,0.8,0.5,1.2,4.4,10.1,2.6,6.8,0.6,0.7,0.436,0.386,0.881,1,0,0.8
203468,CJ McCollum,NOP,66,32.7,20.0,4.3,4.6,0.9,0.6,1.7,7.3,16.0,3.6,8.4,1.7,2.1,0.459,0.429,0.827,2,0,3.0
1630595,Cade Cunningham,DET,62,33.5,22.7,4.3,7.5,0.9,0.4,3.4,8.5,18.8,1.9,5.4,3.8,4.4,0.449,0.355,0.869,14,0,-5.6
1631216,Caleb Houstan,ORL,59,13.8,4.3,1.4,0.5,0.3,0.1,0.3,1.4,3.5,1.2,3.3,0.4,0.4,0.388,0.373,0.808,0,0,-0.5
1628997,Caleb Martin,MIA,64,27.4,10.0,4.4,2.2,0.7,0.5,1.2,3.8,8.7,1.3,3.6,1.2,1.5,0.431,0.349,0.778,2,0,1.0
1629629,Cam Reddish,LAL,48,20.5,5.4,2.1,1.0,1.0,0.3,0.6,1.9,4.9,0.8,2.3,0.9,1.1,0.389,0.336,0.759,0,0,-1.0
1630560,Cam Thomas,BKN,66,31.4,22.5,3.2,2.9,0.7,0.2,1.9,8.0,18.0,2.2,6.0,4.3,5.1,0.442,0.364,0.856,0,0,-3.0
1641715,Cam Whitmore,HOU,47,18.7,12.3,3.8,0.7,0.6,0.4,1.0,4.5,9.9,1.7,4.7,1.6,2.4,0.454,0.359,0.679,1,0,-0.6
1629661,Cameron Johnson,BKN,58,27.6,13.4,4.3,2.4,0.8,0.3,1.0,4.8,10.7,2.4,6.1,1.5,1.9,0.446,0.391,0.789,1,0,-1.3
1626166,Cameron Payne,PHI,78,16.7,7.4,1.5,2.6,0.5,0.1,0.8,2.7,6.2,1.3,3.4,0.7,0.9,0.432,0.39,0.866,1,0,-0.1
1627747,Caris LeVert,CLE,68,28.8,14.0,4.1,5.1,1.1,0.5,1.7,5.1,12.1,1.6,4.9,2.3,3.0,0.421,0.325,0.766,6,0,1.8
1641717,Cason Wallace,OKC,82,20.6,6.8,2.3,1.5,0.9,0.5,0.5,2.6,5.4,1.2,2.9,0.4,0.5,0.491,0.419,0.784,0,0,1.5
1626224,Cedi Osman,SAS,72,17.6,6.8,2.5,1.7,0.5,0.2,0.7,2.6,5.3,1.2,3.1,0.5,0.7,0.479,0.389,0.673,0,0,-4.9
1629646,Charles Bassey,SAS,19,10.8,3.3,4.0,1.1,0.4,0.9,0.8,1.5,2.1,0.0,0.1,0.3,0.3,0.725,0.0,0.833,0,0,-2.4
1629718,Charlie Brown Jr.,NYK,8,4.7,0.8,0.2,0.0,0.0,0.2,0.2,0.2,1.2,0.2,0.9,0.0,0.0,0.2,0.286,0.0,0,0,-0.8
1631096,Chet Holmgren,OKC,82,29.4,16.5,7.9,2.4,0.6,2.3,1.6,6.2,11.6,1.6,4.3,2.7,3.4,0.53,0.37,0.793,23,0,5.2
1629002,Chimezie Metu,DET,51,16.8,6.5,3.8,0.9,0.8,0.3,1.0,2.4,4.8,0.5,1.8,1.1,1.3,0.504,0.298,0.906,1,0,-2.1
1628449,Chris Boucher,TOR,50,14.1,6.4,4.1,0.5,0.3,0.5,0.6,2.2,4.3,0.6,1.9,1.4,1.8,0.507,0.33,0.772,0,0,0.6
1630537,Chris Duarte,SAC,59,12.2,3.9,1.8,0.7,0.5,0.1,0.4,1.4,3.6,0.7,2.2,0.4,0.6,0.381,0.346,0.788,0,0,-1.1
1641753,Chris Livingston,MIL,21,4.3,1.2,1.0,0.2,0.1,0.0,0.2,0.5,1.0,0.0,0.2,0.1,0.2,0.5,0.2,0.75,0,0,-1.3
101108,Chris Paul,GSW,58,26.4,9.2,3.9,6.8,1.2,0.1,1.3,3.6,8.1,1.3,3.6,0.7,0.9,0.441,0.371,0.827,5,0,1.9
1631128,Christian Braun,DEN,82,20.2,7.3,3.7,1.6,0.5,0.4,0.7,2.7,5.9,0.8,2.0,1.1,1.6,0.46,0.384,0.694,2,0,-0.2
1626174,Christian Wood,LAL,50,17.4,6.9,5.1,1.0,0.3,0.7,1.0,2.5,5.3,0.7,2.3,1.3,1.9,0.466,0.307,0.702,2,0,0.1
1629643,Chuma Okeke,ORL,47,9.2,2.3,1.7,0.4,0.2,0.1,0.3,0.9,2.4,0.5,1.7,0.1,0.1,0.357,0.28,0.571,0,0,-1.5
203991,Clint Capela,ATL,73,25.8,11.5,10.6,1.2,0.6,1.5,1.0,4.8,8.5,0.0,0.0,1.8,2.8,0.571,0.0,0.631,38,0,-0.2
1629632,Coby White,CHI,79,36.5,19.1,4.5,5.1,0.7,0.2,2.1,6.8,15.3,2.6,7.0,2.8,3.3,0.447,0.376,0.838,5,0,-0.4
1628998,Cody Martin,CHA,28,26.9,7.5,3.9,3.7,1.1,0.6,1.6,2.9,7.7,1.0,3.1,0.7,1.2,0.381,0.314,0.606,1,0,-5.6
203469,Cody Zeller,NOP,43,7.4,1.8,2.6,0.9,0.2,0.1,0.4,0.6,1.4,0.0,0.1,0.5,0.9,0.419,0.333,0.605,0,0,1.1
1641732,Colby Jones,SAC,30,6.4,2.1,1.3,0.7,0.2,0.2,0.3,0.9,2.4,0.1,0.7,0.2,0.4,0.394,0.091,0.545,0,0,0.3
1630175,Cole Anthony,ORL,81,22.4,11.6,3.8,2.9,0.8,0.5,1.6,4.1,9.4,1.1,3.4,2.2,2.7,0.435,0.338,0.826,3,0,1.4
1631306,Cole Swider,MIA,18,4.8,2.3,0.4,0.3,0.1,0.1,0.4,0.8,2.1,0.6,1.7,0.1,0.1,0.395,0.333,1.0,0,0,-1.1
1630658,Colin Castleton,LAL,16,3.7,1.5,0.8,0.2,0.1,0.0,0.2,0.6,1.0,0.0,0.0,0.4,0.4,0.563,0.0,1.0,0,0,-2.8
1631221,Collin Gillespie,DEN,24,9.4,3.6,0.9,1.1,0.5,0.0,0.6,1.3,2.9,0.6,1.6,0.3,0.5,0.464,0.395,0.667,0,0,0.6
1629012,Collin Sexton,UTA,78,26.6,18.7,2.6,4.9,0.8,0.2,2.1,6.5,13.3,1.6,4.2,4.1,4.7,0.487,0.394,0.859,4,0,-1.8
1630557,Corey Kispert,WAS,80,25.8,13.4,2.8,2.0,0.5,0.2,1.2,4.8,9.9,2.3,6.0,1.4,2.0,0.486,0.383,0.726,1,0,-5.6
202709,Cory Joseph,GSW,26,11.4,2.4,1.2,1.6,0.2,0.1,0.5,0.9,2.5,0.5,1.6,0.2,0.3,0.359,0.31,0.571,0,0,-0.5
1641854,Craig Porter Jr.,CLE,51,12.7,5.6,2.1,2.3,0.4,0.3,0.9,2.3,4.5,0.2,0.7,0.8,1.1,0.509,0.353,0.732,0,0,-0.5
1626156,D'Angelo Russell,LAL,76,32.7,18.0,3.1,6.3,0.9,0.5,2.1,6.5,14.2,3.0,7.2,2.1,2.5,0.456,0.415,0.828,10,0,2.4
1641793,D'Moi Hodge,LAL,7,5.9,2.0,0.0,0.7,0.1,0.1,0.1,0.7,2.1,0.4,1.7,0.1,0.3,0.333,0.25,0.5,0,0,-5.0
1630618,D.J. Carton,TOR,4,8.9,2.8,1.0,0.8,0.2,0.0,0.2,0.8,2.0,0.2,1.0,1.0,1.2,0.375,0.25,0.8,0,0,-7.8
1628391,D.J. Wilson,PHI,2,7.7,5.0,1.0,1.0,0.0,1.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.667,1.0,0.0,0,0,1.0
1629610,DaQuan Jeffries,NYK,17,2.7,0.8,0.3,0.3,0.0,0.1,0.2,0.4,1.0,0.1,0.6,0.0,0.1,0.353,0.2,0.0,0,0,-0.6
1630227,Daishen Nix,MIN,15,3.3,1.8,0.2,0.4,0.3,0.0,0.3,0.6,1.6,0.4,1.1,0.2,0.4,0.375,0.353,0.5,0,0,1.9
1630625,Dalano Banton,POR,54,19.4,10.3,3.3,2.4,0.6,0.4,1.4,3.7,9.3,1.1,3.7,1.7,2.2,0.404,0.296,0.783,2,0,-4.1
1631207,Dalen Terry,CHI,59,11.5,3.1,1.9,1.4,0.5,0.3,0.5,1.2,2.7,0.3,1.3,0.4,0.7,0.439,0.23,0.581,0,0,0.6
1627745,Damian Jones,CLE,39,6.9,2.7,1.6,0.4,0.2,0.3,0.3,1.1,1.8,0.1,0.4,0.5,0.5,0.597,0.214,0.857,0,0,-2.3
203081,Damian Lillard,MIL,73,35.3,24.3,4.4,7.0,1.0,0.2,2.6,7.4,17.5,3.0,8.5,6.5,7.0,0.424,0.354,0.92,12,0,5.3
1629655,Daniel Gafford,DAL,74,24.5,11.0,7.6,1.6,0.9,2.1,1.0,4.7,6.5,0.0,0.0,1.6,2.4,0.725,0.0,0.674,15,0,-1.4
